"year","temperature","month","ts","time"
1953,-0.03,11,1953.88,"1953-11-15 00:00:00"
1954,0.08,11,1954.88,"1954-11-15 00:00:00"
1955,-0.25,11,1955.88,"1955-11-15 00:00:00"
1956,-0.14,11,1956.88,"1956-11-15 00:00:00"
1957,0.07,11,1957.88,"1957-11-15 00:00:00"
1958,0.02,11,1958.88,"1958-11-15 00:00:00"
1959,-0.08,11,1959.88,"1959-11-15 00:00:00"
1960,-0.11,11,1960.88,"1960-11-15 00:00:00"
1961,0.03,11,1961.88,"1961-11-15 00:00:00"
1962,0.06,11,1962.88,"1962-11-15 00:00:00"
1963,0.14,11,1963.88,"1963-11-15 00:00:00"
1964,-0.22,11,1964.88,"1964-11-15 00:00:00"
1965,-0.06,11,1965.88,"1965-11-15 00:00:00"
1966,-0.01,11,1966.88,"1966-11-15 00:00:00"
1967,-0.04,11,1967.88,"1967-11-15 00:00:00"
1968,-0.05,11,1968.88,"1968-11-15 00:00:00"
1969,0.12,11,1969.88,"1969-11-15 00:00:00"
1970,0.02,11,1970.88,"1970-11-15 00:00:00"
1971,-0.07,11,1971.88,"1971-11-15 00:00:00"
1972,0.02,11,1972.88,"1972-11-15 00:00:00"
1973,0.05,11,1973.88,"1973-11-15 00:00:00"
1974,-0.07,11,1974.88,"1974-11-15 00:00:00"
1975,-0.17,11,1975.88,"1975-11-15 00:00:00"
1976,-0.06,11,1976.88,"1976-11-15 00:00:00"
1977,0.16,11,1977.88,"1977-11-15 00:00:00"
1978,0.14,11,1978.88,"1978-11-15 00:00:00"
1979,0.29,11,1979.88,"1979-11-15 00:00:00"
1980,0.29,11,1980.88,"1980-11-15 00:00:00"
1981,0.23,11,1981.88,"1981-11-15 00:00:00"
1982,0.17,11,1982.88,"1982-11-15 00:00:00"
1983,0.3,11,1983.88,"1983-11-15 00:00:00"
1984,0.07,11,1984.88,"1984-11-15 00:00:00"
1985,0.05,11,1985.88,"1985-11-15 00:00:00"
1986,0.11,11,1986.88,"1986-11-15 00:00:00"
1987,0.29,11,1987.88,"1987-11-15 00:00:00"
1988,0.12,11,1988.88,"1988-11-15 00:00:00"
1989,0.19,11,1989.88,"1989-11-15 00:00:00"
1990,0.47,11,1990.88,"1990-11-15 00:00:00"
1991,0.29,11,1991.88,"1991-11-15 00:00:00"
1992,0.02,11,1992.88,"1992-11-15 00:00:00"
1993,0.04,11,1993.88,"1993-11-15 00:00:00"
1994,0.44,11,1994.88,"1994-11-15 00:00:00"
1995,0.44,11,1995.88,"1995-11-15 00:00:00"
1996,0.38,11,1996.88,"1996-11-15 00:00:00"
1997,0.64,11,1997.88,"1997-11-15 00:00:00"
1998,0.43,11,1998.88,"1998-11-15 00:00:00"
1999,0.37,11,1999.88,"1999-11-15 00:00:00"
2000,0.31,11,2000.88,"2000-11-15 00:00:00"
2001,0.73,11,2001.88,"2001-11-15 00:00:00"
2002,0.59,11,2002.88,"2002-11-15 00:00:00"
2003,0.53,11,2003.88,"2003-11-15 00:00:00"
2004,0.73,11,2004.88,"2004-11-15 00:00:00"
2005,0.74,11,2005.88,"2005-11-15 00:00:00"
2006,0.73,11,2006.88,"2006-11-15 00:00:00"
2007,0.58,11,2007.88,"2007-11-15 00:00:00"
2008,0.69,11,2008.88,"2008-11-15 00:00:00"
2009,0.8,11,2009.88,"2009-11-15 00:00:00"
2010,0.82,11,2010.88,"2010-11-15 00:00:00"
2011,0.59,11,2011.88,"2011-11-15 00:00:00"
2012,0.79,11,2012.88,"2012-11-15 00:00:00"
2013,0.85,11,2013.88,"2013-11-15 00:00:00"
2014,0.67,11,2014.88,"2014-11-15 00:00:00"
2015,1.06,11,2015.88,"2015-11-15 00:00:00"
2016,0.91,11,2016.88,"2016-11-15 00:00:00"
2017,0.88,11,2017.88,"2017-11-15 00:00:00"
2018,0.83,11,2018.88,"2018-11-15 00:00:00"
2019,1,11,2019.88,"2019-11-15 00:00:00"
1880,-0.16,12,1880.96,"1880-12-15 00:00:00"
1881,-0.06,12,1881.96,"1881-12-15 00:00:00"
1882,-0.35,12,1882.96,"1882-12-15 00:00:00"
1883,-0.1,12,1883.96,"1883-12-15 00:00:00"
1884,-0.3,12,1884.96,"1884-12-15 00:00:00"
1885,-0.08,12,1885.96,"1885-12-15 00:00:00"
1886,-0.23,12,1886.96,"1886-12-15 00:00:00"
1887,-0.32,12,1887.96,"1887-12-15 00:00:00"
1888,-0.03,12,1888.96,"1888-12-15 00:00:00"
1889,-0.28,12,1889.96,"1889-12-15 00:00:00"
1890,-0.3,12,1890.96,"1890-12-15 00:00:00"
1891,-0.03,12,1891.96,"1891-12-15 00:00:00"
1892,-0.37,12,1892.96,"1892-12-15 00:00:00"
1893,-0.31,12,1893.96,"1893-12-15 00:00:00"
1894,-0.2,12,1894.96,"1894-12-15 00:00:00"
1895,-0.12,12,1895.96,"1895-12-15 00:00:00"
1896,-0.03,12,1896.96,"1896-12-15 00:00:00"
1897,-0.19,12,1897.96,"1897-12-15 00:00:00"
1898,-0.22,12,1898.96,"1898-12-15 00:00:00"
1899,-0.25,12,1899.96,"1899-12-15 00:00:00"
1900,-0.05,12,1900.96,"1900-12-15 00:00:00"
1901,-0.26,12,1901.96,"1901-12-15 00:00:00"
1902,-0.41,12,1902.96,"1902-12-15 00:00:00"
1903,-0.5,12,1903.96,"1903-12-15 00:00:00"
1904,-0.32,12,1904.96,"1904-12-15 00:00:00"
1905,-0.12,12,1905.96,"1905-12-15 00:00:00"
1906,-0.14,12,1906.96,"1906-12-15 00:00:00"
1907,-0.46,12,1907.96,"1907-12-15 00:00:00"
1908,-0.48,12,1908.96,"1908-12-15 00:00:00"
1909,-0.56,12,1909.96,"1909-12-15 00:00:00"
1910,-0.67,12,1910.96,"1910-12-15 00:00:00"
1911,-0.2,12,1911.96,"1911-12-15 00:00:00"
1912,-0.43,12,1912.96,"1912-12-15 00:00:00"
1913,-0.01,12,1913.96,"1913-12-15 00:00:00"
1914,-0.03,12,1914.96,"1914-12-15 00:00:00"
1915,-0.21,12,1915.96,"1915-12-15 00:00:00"
1916,-0.82,12,1916.96,"1916-12-15 00:00:00"
1917,-0.66,12,1917.96,"1917-12-15 00:00:00"
1918,-0.29,12,1918.96,"1918-12-15 00:00:00"
1919,-0.41,12,1919.96,"1919-12-15 00:00:00"
1920,-0.46,12,1920.96,"1920-12-15 00:00:00"
1921,-0.17,12,1921.96,"1921-12-15 00:00:00"
1922,-0.18,12,1922.96,"1922-12-15 00:00:00"
1923,-0.04,12,1923.96,"1923-12-15 00:00:00"
1924,-0.43,12,1924.96,"1924-12-15 00:00:00"
1925,0.06,12,1925.96,"1925-12-15 00:00:00"
1926,-0.29,12,1926.96,"1926-12-15 00:00:00"
1927,-0.33,12,1927.96,"1927-12-15 00:00:00"
1928,-0.16,12,1928.96,"1928-12-15 00:00:00"
1929,-0.54,12,1929.96,"1929-12-15 00:00:00"
1930,-0.05,12,1930.96,"1930-12-15 00:00:00"
1931,-0.05,12,1931.96,"1931-12-15 00:00:00"
1932,-0.25,12,1932.96,"1932-12-15 00:00:00"
1933,-0.44,12,1933.96,"1933-12-15 00:00:00"
1934,-0.02,12,1934.96,"1934-12-15 00:00:00"
1935,-0.17,12,1935.96,"1935-12-15 00:00:00"
1936,-0.01,12,1936.96,"1936-12-15 00:00:00"
1937,-0.07,12,1937.96,"1937-12-15 00:00:00"
1938,-0.13,12,1938.96,"1938-12-15 00:00:00"
1939,0.44,12,1939.96,"1939-12-15 00:00:00"
1940,0.32,12,1940.96,"1940-12-15 00:00:00"
1941,0.22,12,1941.96,"1941-12-15 00:00:00"
1942,0.13,12,1942.96,"1942-12-15 00:00:00"
1943,0.24,12,1943.96,"1943-12-15 00:00:00"
1944,0.04,12,1944.96,"1944-12-15 00:00:00"
1945,-0.07,12,1945.96,"1945-12-15 00:00:00"
1946,-0.31,12,1946.96,"1946-12-15 00:00:00"
1947,-0.13,12,1947.96,"1947-12-15 00:00:00"
1948,-0.24,12,1948.96,"1948-12-15 00:00:00"
1949,-0.18,12,1949.96,"1949-12-15 00:00:00"
1950,-0.21,12,1950.96,"1950-12-15 00:00:00"
1951,0.16,12,1951.96,"1951-12-15 00:00:00"
1952,-0.02,12,1952.96,"1952-12-15 00:00:00"
1953,0.05,12,1953.96,"1953-12-15 00:00:00"
1954,-0.18,12,1954.96,"1954-12-15 00:00:00"
1955,-0.28,12,1955.96,"1955-12-15 00:00:00"
1956,-0.06,12,1956.96,"1956-12-15 00:00:00"
1957,0.15,12,1957.96,"1957-12-15 00:00:00"
1958,0.01,12,1958.96,"1958-12-15 00:00:00"
1959,0,12,1959.96,"1959-12-15 00:00:00"
1960,0.19,12,1960.96,"1960-12-15 00:00:00"
1961,-0.16,12,1961.96,"1961-12-15 00:00:00"
1962,-0.03,12,1962.96,"1962-12-15 00:00:00"
1963,-0.03,12,1963.96,"1963-12-15 00:00:00"
1964,-0.3,12,1964.96,"1964-12-15 00:00:00"
1965,-0.08,12,1965.96,"1965-12-15 00:00:00"
1966,-0.03,12,1966.96,"1966-12-15 00:00:00"
1967,-0.05,12,1967.96,"1967-12-15 00:00:00"
1968,-0.14,12,1968.96,"1968-12-15 00:00:00"
1969,0.24,12,1969.96,"1969-12-15 00:00:00"
1970,-0.12,12,1970.96,"1970-12-15 00:00:00"
1971,-0.09,12,1971.96,"1971-12-15 00:00:00"
1972,0.17,12,1972.96,"1972-12-15 00:00:00"
1973,-0.06,12,1973.96,"1973-12-15 00:00:00"
1974,-0.08,12,1974.96,"1974-12-15 00:00:00"
1975,-0.17,12,1975.96,"1975-12-15 00:00:00"
1976,0.1,12,1976.96,"1976-12-15 00:00:00"
1977,0.03,12,1977.96,"1977-12-15 00:00:00"
1978,0.08,12,1978.96,"1978-12-15 00:00:00"
1979,0.48,12,1979.96,"1979-12-15 00:00:00"
1980,0.21,12,1980.96,"1980-12-15 00:00:00"
1981,0.41,12,1981.96,"1981-12-15 00:00:00"
1982,0.42,12,1982.96,"1982-12-15 00:00:00"
1983,0.17,12,1983.96,"1983-12-15 00:00:00"
1984,-0.05,12,1984.96,"1984-12-15 00:00:00"
1985,0.13,12,1985.96,"1985-12-15 00:00:00"
1986,0.13,12,1986.96,"1986-12-15 00:00:00"
1987,0.46,12,1987.96,"1987-12-15 00:00:00"
1988,0.28,12,1988.96,"1988-12-15 00:00:00"
1989,0.37,12,1989.96,"1989-12-15 00:00:00"
1990,0.4,12,1990.96,"1990-12-15 00:00:00"
1991,0.31,12,1991.96,"1991-12-15 00:00:00"
1992,0.21,12,1992.96,"1992-12-15 00:00:00"
1993,0.18,12,1993.96,"1993-12-15 00:00:00"
1994,0.38,12,1994.96,"1994-12-15 00:00:00"
1995,0.25,12,1995.96,"1995-12-15 00:00:00"
1996,0.37,12,1996.96,"1996-12-15 00:00:00"
1997,0.58,12,1997.96,"1997-12-15 00:00:00"
1998,0.56,12,1998.96,"1998-12-15 00:00:00"
1999,0.41,12,1999.96,"1999-12-15 00:00:00"
2000,0.29,12,2000.96,"2000-12-15 00:00:00"
2001,0.56,12,2001.96,"2001-12-15 00:00:00"
2002,0.43,12,2002.96,"2002-12-15 00:00:00"
2003,0.75,12,2003.96,"2003-12-15 00:00:00"
2004,0.51,12,2004.96,"2004-12-15 00:00:00"
2005,0.68,12,2005.96,"2005-12-15 00:00:00"
2006,0.79,12,2006.96,"2006-12-15 00:00:00"
2007,0.49,12,2007.96,"2007-12-15 00:00:00"
2008,0.54,12,2008.96,"2008-12-15 00:00:00"
2009,0.67,12,2009.96,"2009-12-15 00:00:00"
2010,0.45,12,2010.96,"2010-12-15 00:00:00"
2011,0.61,12,2011.96,"2011-12-15 00:00:00"
2012,0.53,12,2012.96,"2012-12-15 00:00:00"
2013,0.7,12,2013.96,"2013-12-15 00:00:00"
2014,0.8,12,2014.96,"2014-12-15 00:00:00"
2015,1.16,12,2015.96,"2015-12-15 00:00:00"
2016,0.86,12,2016.96,"2016-12-15 00:00:00"
2017,0.95,12,2017.96,"2017-12-15 00:00:00"
2018,0.92,12,2018.96,"2018-12-15 00:00:00"
2019,1.11,12,2019.96,"2019-12-15 00:00:00"
